track_name,artists,streams,released_year
Counting Stars,OneRepublic,2011464183,2013
Ghost,Justin Bieber,1167330737,2021
Under The Influence,Chris Brown,929964809,2019
PRC,Natanael Cano,436027885,2023
PRC,Peso Pluma,436027885,2023
Gasolina,Daddy Yankee,657723613,2004
One Dance,Drake,2713922350,2016
One Dance,WizKid,2713922350,2016
One Dance,Kyla,2713922350,2016
Enchanted,Taylor Swift,621660989,2010
Save Your Tears,The Weeknd,1591223784,2020
Sure Thing,Miguel,950906471,2010
Every Breath You Take - Remastered 2003,The Police,1593270737,1983
The Night We Met,Lord Huron,1410088830,2015
We Found Love,Rihanna,1235005533,2011
We Found Love,Calvin Harris,1235005533,2011
When I Was Your Man,Bruno Mars,1661187319,2012
Let Me Down Slowly,Alec Benjamin,1374581173,2018
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",A$AP Rocky,94186466,2023
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,94186466,2023
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Roisee,94186466,2023
Do I Wanna Know?,Arctic Monkeys,1788326445,2013
Demons,Imagine Dragons,1840364617,2012
????????????,YOASOBI,143573775,2023
Reminder,The Weeknd,684675814,2016
Shake It Off,Taylor Swift,1113838873,2014
Why'd You Only Call Me When You're High?,Arctic Monkeys,1267333350,2013
SNAP,Rosa Linn,726307468,2022
Shape of You,Ed Sheeran,3562543890,2017
Night Changes,One Direction,1131090940,2014
Fin de Semana,Oscar Maydon,307370144,2023
Fin de Semana,Junior H,307370144,2023
Creep,Radiohead,1271293243,1992
Car's Outside,James Arthur,265882712,2019
Apocalypse,Cigarettes After Sex,841749534,2017
Cheques,Shubh,47956378,2023
Pink + White,Frank Ocean,806397070,2016
Circles,Post Malone,2132335812,2019
Just The Way You Are,Bruno Mars,1641426668,2010
Take Me To Church,Hozier,2135158446,2013
Bebe Dame,Fuerza Regida,367316268,2022
Bebe Dame,Grupo Frontera,367316268,2022
You Belong With Me (Taylor???s Ve,Taylor Swift,350381515,2021
Titi Me Pregunt?,Bad Bunny,1264310836,2022
Better Than Revenge (Taylor's Version),Taylor Swift,30343206,2023
Shut up My Moms Calling,Hotel Ugly,405136812,2020
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1145727611,1968
Es un Secreto,Plan B,540654286,2010
POLARIS - Remix,Feid,57312735,2023
POLARIS - Remix,Mora,57312735,2023
POLARIS - Remix,Saiko,57312735,2023
POLARIS - Remix,Quevedo,57312735,2023
Ditto,NewJeans,397582059,2022
Take On Me,a-ha,1479115056,1984
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Swae Lee,86773632,2023
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Lil Wayne,86773632,2023
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Offset,86773632,2023
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,86773632,2023
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,133753727,2023
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",NLE Choppa,133753727,2023
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",Muni Long,133753727,2023
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",JVKE,133753727,2023
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",Jimin,133753727,2023
Acr??s,Shakira,123124076,2023
AMG,Natanael Cano,463564958,2022
AMG,Gabito Ballesteros,463564958,2022
AMG,Peso Pluma,463564958,2022
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Arijit Singh,64533040,2023
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,64533040,2023
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Amitabha Bhattacharya,64533040,2023
S-Class,Stray Kids,65496046,2023
Hits Different,Taylor Swift,68616963,2023
Chanel,Becky G,161460990,2023
Chanel,Peso Pluma,161460990,2023
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,70106975,2023
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Coi Leray,70106975,2023
Area Codes,Kaliii,113509496,2023
Area Codes,Kaliii,113509496,2023
Abcdario,Junior H,89933133,2023
Abcdario,Eden Mu??,89933133,2023
Obsessed,Abhijay Sharma,71007139,2022
Obsessed,Riar Saab,71007139,2022
Pi??man De?,Semicenk,43522589,2023
Pi??man De?,Do??u,43522589,2023
FLOWER,JISOO,232896922,2023
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Future,37126685,2023
